price,address,is_active,url,bedrooms,bathrooms,area_sqft
420000.0,"1400 S Michigan Ave APT 1609, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1400-S-Michigan-Ave-APT-1609-Chicago-IL-60605/119972100_zpid/,2.0,2.0,1027.0
969000.0,"1515 S Prairie Ave UNIT 1013, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1515-S-Prairie-Ave-UNIT-1013-Chicago-IL-60605/65572914_zpid/,4.0,3.0,2757.0
1139000.0,"1211 S Prairie Ave APT 1604, Chicago, IL 60605",Price Change,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-1604-Chicago-IL-60605/87697321_zpid/,3.0,3.0,2218.0
439900.0,"910 S Michigan Ave APT 1615, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1615-Chicago-IL-60605/70472120_zpid/,2.0,2.0,1540.0
499900.0,"233 E 13th St APT 601, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/233-E-13th-St-APT-601-Chicago-IL-60605/70474978_zpid/,2.0,2.0,1290.0
420000.0,"1111 S Wabash Ave APT 2605, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1111-S-Wabash-Ave-APT-2605-Chicago-IL-60605/70472393_zpid/,2.0,2.0,1498.0
1250000.0,"1201 S Prairie Ave APT 4103, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-APT-4103-Chicago-IL-60605/113961464_zpid/,3.0,2.0,1746.0
1749900.0,"719 S State St, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/719-S-State-St-Chicago-IL-60605/158830818_zpid/,3.0,1.0,2016.0
365500.0,"1530 S State St APT 703, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1530-S-State-St-APT-703-Chicago-IL-60605/65552049_zpid/,3.0,1.0,2016.0
465000.0,"233 E 13th St APT 402, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/233-E-13th-St-APT-402-Chicago-IL-60605/70474965_zpid/,2.0,2.0,1346.0
669000.0,"100 14th St #1001, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/100-14th-St-1001-Chicago-IL-60605/99347250_zpid/,3.0,2.0,1667.0
334900.0,"520 S State St APT 1412, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/520-S-State-St-APT-1412-Chicago-IL-60605/101311352_zpid/,3.0,1.0,2016.0
1300000.0,"1211 S Prairie Ave APT 6002, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-6002-Chicago-IL-60605/101431017_zpid/,3.0,3.0,1910.0
227500.0,"899 S Plymouth Ct APT 1005, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/899-S-Plymouth-Ct-APT-1005-Chicago-IL-60605/3872154_zpid/,3.0,1.0,2016.0
789900.0,"1201 S Prairie Ave #3105, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1201-S-Prairie-Ave-3105-Chicago-IL-60605/2131784455_zpid/,2.0,2.0,1639.0
1450000.0,"1211 S Prairie Ave APT 601, Chicago, IL 60605",Active,https://www.zillow.com/homedetails/1211-S-Prairie-Ave-APT-601-Chicago-IL-60605/101234687_zpid/,3.0,3.0,2910.0
189900.0,"212 W Washington St APT 2013, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/212-W-Washington-St-APT-2013-Chicago-IL-60606/159467454_zpid/,3.0,1.0,2016.0
365000.0,"208 W Washington St APT 1510, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/208-W-Washington-St-APT-1510-Chicago-IL-60606/63701286_zpid/,2.0,2.0,1300.0
295500.0,"165 N Canal St APT 719, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/165-N-Canal-St-APT-719-Chicago-IL-60606/58367246_zpid/,3.0,1.0,2016.0
389000.0,"130 S Canal St APT 705, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/130-S-Canal-St-APT-705-Chicago-IL-60606/58368831_zpid/,3.0,1.0,2016.0
312900.0,"208 W Washington St APT 806, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/208-W-Washington-St-APT-806-Chicago-IL-60606/62012805_zpid/,3.0,1.0,2016.0
1250000.0,"333 N Canal St APT 2906, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-2906-Chicago-IL-60606/70449411_zpid/,3.0,3.0,2599.0
320000.0,"212 W Washington St APT 708, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/212-W-Washington-St-APT-708-Chicago-IL-60606/159466850_zpid/,3.0,1.0,2016.0
400000.0,"333 N Canal St APT 1307, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-1307-Chicago-IL-60606/70468356_zpid/,3.0,1.0,2016.0
1499000.0,"333 N Canal St APT 2205, Chicago, IL 60606",Active,https://www.zillow.com/homedetails/333-N-Canal-St-APT-2205-Chicago-IL-60606/70449419_zpid/,3.0,3.0,3700.0
1599999.0,"910 W Madison St APT 904E, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/910-W-Madison-St-APT-904E-Chicago-IL-60607/70466134_zpid/,3.0,3.0,2500.0
700000.0,"234 W Polk St #2309, Chicago, IL 60607",New,https://www.zillow.com/homedetails/234-W-Polk-St-2309-Chicago-IL-60607/346400251_zpid/,2.0,2.0,1223.0
1699900.0,"1000 W Washington Blvd UNIT 202, Chicago, IL 60607",Price Change,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-202-Chicago-IL-60607/54537797_zpid/,4.0,4.0,3200.0
345000.0,"235 W Van Buren St UNIT 1907, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-1907-Chicago-IL-60607/159467676_zpid/,2.0,2.0,1128.0
1469000.0,"812 W Van Buren St #6HI, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/812-W-Van-Buren-St-6HI-Chicago-IL-60607/2075576467_zpid/,3.0,3.0,2240.0
1700000.0,"1000 W Washington Blvd UNIT 509, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-UNIT-509-Chicago-IL-60607/54537847_zpid/,3.0,3.0,3344.0
1325000.0,"234 W Polk St #4008, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/234-W-Polk-St-4008-Chicago-IL-60607/2053552108_zpid/,3.0,3.0,1517.0
1995000.0,"1000 W Washington Blvd #518-17, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1000-W-Washington-Blvd-518-17-Chicago-IL-60607/2052957840_zpid/,6.0,6.0,4920.0
1150000.0,"24 S Throop Pkwy, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/24-S-Throop-Pkwy-Chicago-IL-60607/65542048_zpid/,3.0,4.0,2700.0
1050000.0,"1128 W Adams St UNIT 4E, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1128-W-Adams-St-UNIT-4E-Chicago-IL-60607/2101409663_zpid/,3.0,3.0,2143.0
495000.0,"1500 W Monroe St UNIT 622, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/1500-W-Monroe-St-UNIT-622-Chicago-IL-60607/70473291_zpid/,2.0,2.0,1475.0
469000.0,"811 S Lytle St APT 510, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/811-S-Lytle-St-APT-510-Chicago-IL-60607/54539614_zpid/,2.0,3.0,1600.0
574900.0,"6 S Laflin St APT 911S, Chicago, IL 60607",Active,https://www.zillow.com/homedetails/6-S-Laflin-St-APT-911S-Chicago-IL-60607/80845278_zpid/,2.0,2.0,1700.0
